Dataset,F1 Score (minor class),ROC AUC,PR AUC
1039_hiva_agnostic_cleaned.csv,0.038712921065862244,0.7491085434173671,0.30871227677777174
316_yeast_ml8_cleaned.csv,0.0,0.8479116290033071,0.11563831950315206
947_arsenic-male-bladder_cleaned.csv,0.6262626262626262,0.1452782049672546,0.029572794170614373
1014_analcatdata_dmft_cleaned.csv,0.0,0.5475765072384093,0.22432095474115363
875_analcatdata_chlamydia_cleaned.csv,0.7859362859362861,0.025573192239858916,0.12981268665630516
463_backache_cleaned.csv,0.06666666666666667,0.7188407770515614,0.3137292713221813
971_mfeat-fourier_cleaned.csv,0.9715740604815033,0.9996802603145886,0.9981125773103918
1056_mc1_cleaned.csv,0.383706764129456,0.9553529918751872,0.3651795222835264
995_mfeat-zernike_cleaned.csv,0.931538865334141,0.9921950851801599,0.9776221881834418
867_visualizing_livestock_cleaned.csv,0.40100250626566414,0.17275132275132277,0.13487504083551016
949_arsenic-female-bladder_cleaned.csv,0.1696160717295311,0.20338281758617185,0.09104432504281572
1002_ipums_la_98-small_cleaned.csv,0.0,0.15275706314482082,0.061058520013810846
1018_ipums_la_99-small_cleaned.csv,0.0,0.10629208689941831,0.03498538393242437
767_analcatdata_apnea1_cleaned.csv,0.3301913140622818,0.08801472279733151,0.08109050307187772
958_segment_cleaned.csv,0.9745077731624816,0.9990381083562901,0.9958259558795631
984_analcatdata_draft_cleaned.csv,0.05128205128205129,0.5293341230841232,0.12746495878079975
757_meta_cleaned.csv,0.09523809523809523,0.15512189404594467,0.0624123226533315
1016_vowel_cleaned.csv,0.9357596674248961,0.9973703703703704,0.9831496533424978
1045_kc1-top5_cleaned.csv,0.2222222222222222,0.11800858829844336,0.04205802408673751
976_JapaneseVowels_cleaned.csv,0.8873057700442253,0.9917045565192137,0.963988453598227
1059_ar1_cleaned.csv,0.0,0.7224988146040778,0.3113546176046176
954_spectrometer_cleaned.csv,0.8337962962962964,0.9905853586544446,0.9451931736947597
1065_kc3_cleaned.csv,0.07407407407407407,0.8465987458480421,0.40914404435298285
980_optdigits_cleaned.csv,0.8604295192073635,0.9915882932661114,0.9570259969390486
1021_page-blocks_cleaned.csv,0.833308295631661,0.013116769217438934,0.05386735779537288
1064_ar6_cleaned.csv,0.20634920634920637,0.6388341543513957,0.414941363435181
1013_analcatdata_challenger_cleaned.csv,0.0,0.731266149870801,0.15406327391621508
765_analcatdata_apnea2_cleaned.csv,0.4112654320987654,0.07824333006814757,0.08637371589760971
865_analcatdata_neavote_cleaned.csv,0.0,0.654121863799283,0.12501677888674792
1061_ar4_cleaned.csv,0.5195767195767196,0.8842364532019705,0.7395414258893521
312_scene_cleaned.csv,0.5826411460214277,0.937078055271724,0.8228057271850028
1023_soybean_cleaned.csv,0.7840020110608347,0.9750468496988883,0.8990416589713957
450_analcatdata_lawsuit_cleaned.csv,0.9267399267399267,0.992586857085502,0.9121693121693122
978_mfeat-factors_cleaned.csv,0.9685795685795685,0.9970315091210612,0.9895441500010964
311_oil_spill_cleaned.csv,0.26204399888610413,0.9009356523778198,0.5137975577270507
1049_pc4_cleaned.csv,0.37621590786147746,0.9287981045587325,0.6425741012592214
940_water-treatment_cleaned.csv,0.8309635568346638,0.9881482756203114,0.943555691913752
1020_mfeat-karhunen_cleaned.csv,0.8121223172197686,0.993149655761596,0.9661201933256197
987_collins_cleaned.csv,1.0,1.0,0.9999999999999997
968_analcatdata_birthday_cleaned.csv,0.6670401493930905,0.9417577928607339,0.7158258403817088
38_sick_cleaned.csv,0.8264479905437353,0.9879509540006245,0.8888002411065994
1022_mfeat-pixel_cleaned.csv,0.9469887303556659,0.9946254836926478,0.9821671228894343
966_analcatdata_halloffame_cleaned.csv,0.6956862745098039,0.0403970882742337,0.04996792867159461
764_analcatdata_apnea3_cleaned.csv,0.03508771929824561,0.0960482013113592,0.07746024552624074
951_arsenic-male-lung_cleaned.csv,1.0,0.0,0.02191283224505609
1004_synthetic_control_cleaned.csv,1.0,1.0,1.0
1000_hypothyroid_cleaned.csv,0.9696915577512594,0.001401227270254508,0.04053457005553515
1050_pc3_cleaned.csv,0.024242424242424242,0.8336229079044185,0.3433509788165466
950_arsenic-female-lung_cleaned.csv,0.8030303030303031,0.08802910052910051,0.02225389313407124
962_mfeat-morphological_cleaned.csv,0.9768613497765956,0.9980387833559475,0.9931099578014768
